article_author,article_title,index_link,article_dt,article_text,article_IP,article_ncomments
pp771017 (技高一籌),[討論] 716已經讓賴清德瑟瑟發抖了吧,https://www.ptt.cc/bbs/HatePolitics/M.1689507966.A.FEF.html,Sun Jul 16 19:46:04 2023,不說廢話先上圖這圖粗估應該有五十萬人外加各個頻道的雲遊行觀眾加起來絕對是百萬大軍等級外加其他原因無法到場支持的柯文哲已經是五百萬票起跳了賴清德今晚還能睡得著嗎？--,1.200.160.138 (臺灣),34
greedycyan (巴哈母特大),[討論] 柯粉是不是喜歡疼惜他黨,https://www.ptt.cc/bbs/HatePolitics/M.1689507972.A.AA4.html,Sun Jul 16 19:46:10 2023,如題這幾年經常在網路上和柯粉互動發覺他們很有大愛，看到認為值得支持的人選，都會說「一定要讓他進國會」、「國家不可多得的人才」不過有個很有趣的現象是，就算這些他黨人才可能真的百年難尋，但不是掛民眾黨的，通常不會投他，也就是我精神上祝福你的概念。比方說2020年，很多柯粉看到國昌還願意選立委很開心，表示要送他繼續在國會打拚，可是開票結果出來，國昌當時所在的時力得票，離他所在的第四名百分比還有明顯的一段距離，反而民眾黨一些相對政治素人，沒人知道他們當起來怎麼樣，卻受到很大的鼓勵而得到了五席之多。而前幾個月的各總統候選人大學演講，也可以看到一些柯粉覺得賴跟侯還是有些不錯的內容，願意給與疼惜和鼓勵，不過往往留言到最後經常畫風一轉，說道賴侯雖然歷練豐富，有還算可以的水準，但充其量只是「政客」的層級，不像我們阿北，以他信手拈來的談吐，和務實理性的遠見，這可是「政治家」的格局，賴侯雖然也不算差，但就可惜在和我們家阿北在同一局相撞，兩人互比之下相形失色，票還是給阿北比較值得。雖然最後票不一定給柯粉疼惜的人，但我覺得他們發揮悲天憫人的大愛精神，福澤任何有理想的政治從事者，實在是令人動容，大家覺得素不素呢QAQ--,182.233.153.53 (臺灣),1
lupin2401 (七巧寒璃),[討論] 為什麼柯粉要怒吼想休息？,https://www.ptt.cc/bbs/HatePolitics/M.1689508015.A.6BF.html,Sun Jul 16 19:46:53 2023,如題今天下午很火爆1:48處有一位疑似柯粉？跑到場外已經被攔下的台灣國團體邊嗆聲讓大家休息好不好啦！？原來柯粉實體化看到塔綠班是這樣嗆聲的（筆記為什麼柯粉會想休息呢？我看政黑的柯粉24h都在線捏--,118.231.198.14 (臺灣),13
benka (*0*),[討論] 所以白粉=男魯蛇已經是確認的吧？,https://www.ptt.cc/bbs/HatePolitics/M.1689508016.A.EF3.html,Sun Jul 16 19:46:54 2023,今天716管昌遊行不管柯粉後來怎麼否認這兩人都算是挺柯派照理說受眾自然是柯粉不過今天人數三萬可能還算高估來的人90%男性 看起來也不像是高知識分子看來白粉的組成是男性魯蛇已經是事實了吧-----Sent from JPTT on my iPhone--,36.235.189.134 (臺灣),437
GYda (GY大),Re: [新聞]觀察/柯粉「狂護航」!遊行正義主題失焦 淪,https://www.ptt.cc/bbs/HatePolitics/M.1689508376.A.A3B.html,Sun Jul 16 19:52:51 2023,這場遊行在某個角度上來看早已成為民眾黨的造勢大會而且還可以不用出錢，只要寄生就好郭、侯的到場還可以拿來大外宣及大內宣大外宣 :向藍營的朋友呼籲，藍已經要過來跟白合了只要你們立委小雞也過來跟我們合那麼我們就斟酌在某些地方不派區域立委之類的大內宣 :向柯粉呼喊，藍已經與白合作了我們要知道最終的敵人是誰！\立委藍白合，總統柯文哲/\票投柯文哲，敵人賴清德/\台灣的選擇柯文哲/\阿北的敵人賴清德/當然這些都是以政治角度去思考下可以有的操作而已或許人家真的沒有想要搞到變成造勢場合也說不....定？-----Sent from JPTT on my Asus ASUS_Z01RD.--至少沒有負評頂多是被拿來比較、嘲諷但是人家真的在開黨的全代會啊！太過分了，都沒想過北極熊的感受嗎？都不是動員的啦！一定都是義勇軍啦！變成烤土司派對！看到別人比較好，總是會覺得不公平人家要邏輯有肌肉、要智商有肌肉你敢嘴？沒辦法，今天還是要上班冷氣是給電腦吹的，怕電腦太熱當機,39.10.18.218 (臺灣),13
maggie024 (莫莉),Re: [討論] 王婉諭證明了716就是柯文哲造勢大會,https://www.ptt.cc/bbs/HatePolitics/M.1689508419.A.F8E.html,Sun Jul 16 19:53:37 2023,其實只要ㄧ開始就主打逢綠必反擁柯大遊行目標不是更明確嗎？搞不好迴響更好結果在那邊假中立我們要的只是公平正義居住正義，然後邀各黨候選人來好像完全沒立場ㄧ樣現在搞到這種不上不下的收尾再看看這支當初讓ㄧ堆人覺得穩了的MV76萬點閱只來了1、2萬人（好吧！3萬）真的不勝唏噓...--,49.217.46.40 (臺灣),13
puncher (牧童),[討論] 716有什麼資格叫做「遊行」？,https://www.ptt.cc/bbs/HatePolitics/M.1689508475.A.656.html,Sun Jul 16 19:54:33 2023,看了一下今天的新聞根本沒有什麼所謂的遊行啊就是一堆人到凱道集合然後乖乖站好 聽台上的人演講而已這樣也叫遊行喔？遊行就是要一群人走到大馬路上比如說從台北車站走到西門這樣才叫做遊行吧今天為什麼一堆人狂叫716遊行啊這些人是都沒去過真的遊行嗎？？？--有啊 去年十月底還是有同志遊行 10萬人,101.10.5.146 (臺灣),13
suntw (主序星),[新聞] 遊行今登場　館長喊話支持者：沒站出來代,https://www.ptt.cc/bbs/HatePolitics/M.1689508531.A.E5B.html,Sun Jul 16 19:55:29 2023,tvbs遊行今登場　館長喊話支持者：時代力量前立委黃國昌、網紅「館長」陳之漢發起「公平正義救台灣」活動，今（16）日下午2點在凱道舉辦「公平正義救台灣」遊行活動，訴求落實居住正義，不少政治人物紛紛表態參與，其中民眾黨總統參選人柯文哲、國民黨總統參選人侯友宜、鴻海創辦人郭台銘也都會出席。主辦單位評估約有4萬人參加，館長也喊話支持者站出來，「你們才是主角，！」由黃國昌與陳之漢發起的716遊行，上凱道訴求司法正義、落實居住正義。柯文哲、侯友宜，郭台銘都將出席，由於當天正好是民進黨全代會，劍指綠營相當明顯，因此外界也認為這場活動猶如「」大結合。由於下午的活動是屬於全體公民，所以主辦單位明文禁止攜帶、配戴任何汽笛、旗幟、政黨服飾及文宣品。陳之漢表示，遊行不分黨派、候選人，，執政者應該來面對人民的聲音。陳之漢指出，現場無論是民眾黨、國民黨還是時力、基進黨，哪一個穿政黨衣服造謠造勢的，一律不認，一定直接跟他說「到底在幹嘛」，希望大家遵守秩序。陳之漢也喊話支持者，「你們才是主角，一起把不滿吶喊出來，」。黃國昌則強調，凱道的集會，不是為支持任何人的集會，這場集會不是為了支持館長、不是為了支持他這個人，更不是為了支持任何政黨或政治人物。這是一場公民要求政府兌現自己政治承諾的集會。黃國昌回憶道，2016年，當時的民進黨主席蔡英文在選前之夜說：「我身後總統府離廣場上的人民只有幾百公尺的距離，不過總統府裡的人就是聽不到人民聲音，政府無能、政府無心、政府無感，對人民痛苦麻木不仁，這就是此時此刻台灣人民普遍感受」這段話，「真的希望蔡總統還記得」。看來蔡英文做得真的很好這麼熱天氣有冷氣吹大家都爽，又不是狂粉誰要跟假掰仔雙標仔自虐曬太陽再被收割真的謝謝716肯定，蔡總統今天很開心，冷氣也吹的挺舒爽開不開心，驚不驚喜--,175.181.142.36 (臺灣),171
Rrrxddd (有噴 nlnlOeO RR ),[討論] 家人們 誰懂啊 政黑真的是平行時空,https://www.ptt.cc/bbs/HatePolitics/M.1689506785.A.AAC.html,Sun Jul 16 19:26:23 2023,餓死抬頭家人們 誰懂啊我真的是一整個無語住了政黑真的是平行時空果真是柵欄板專門關塔綠班哥布林的全代會穿外套開會這邊不在乎數萬公民上街頭 求公平正義這邊不在乎居住正義這邊也不在乎永遠跟主流民意不一樣只在乎現場人數卻忽略直播間觀看人數這日子真的沒法過了我真的是拴Q不知道哪時後下頭塔綠班才可以走出井裡看向外面的世界而不是一直當井蛙對了不好的評論我真的會刪--,223.136.95.251 (臺灣),9
chengcti (版主請投我一票!),Re: [討論] 柯文哲接下來的窘境,https://www.ptt.cc/bbs/HatePolitics/M.1689506814.A.E5D.html,Sun Jul 16 19:26:52 2023,因為之前阿貝從空軍拿到很多好處所以把網軍頭放上悠遊卡董事長太相信空軍 以為PTT 上面都是支持者哪知上面一堆想爭取網軍頭空軍很虛 一堆可能沒有投票權都外國人空軍只能營造風向 但是投票看陸軍只有陸軍才是王道--,37.19.205.185 (日本),8
MeiHS (簽名檔詳見 其他版晃到，),[討論] 王婉瑜1個打3個，勇氣可嘉,https://www.ptt.cc/bbs/HatePolitics/M.1689506824.A.CC4.html,Sun Jul 16 19:26:57 2023,就像爛嘴人1個ID臭3個顏色一樣，不過九蛋人只敢躲在國外，王小姐頂太陽上台今天才第二次來注意這遊行，好像郭跟候都說過話了，阿北說話了嗎？沒刷到新聞快7點半，有誰還沒講話的嗎？----,1.169.64.90 (臺灣),4
pickchu22001 (天啊~無薪假~),Re: [討論] 今天柯粉上街男女比9：1,https://www.ptt.cc/bbs/HatePolitics/M.1689506839.A.0C3.html,Sun Jul 16 19:27:16 2023,"  嗯... 一般來說政治狂熱的本來就男生大於女生. 你會看到一群阿北在公園吵政治,不會看到一群阿媽在市場吵政治吧? 喔幹!今天真的超熱.跑去看 IMAX MI7 不是爽多了嗎?--  嗯,這次動作場面偏多,劇情著墨部分比較少.",36.227.163.133 (臺灣),18
diefishfish (),[討論] 藍營看完716 應該知道涼了吧？,https://www.ptt.cc/bbs/HatePolitics/M.1689506893.A.D73.html,Sun Jul 16 19:28:11 2023,藍營看716 應該知道涼了吧？侯友宜還有後面那群站在台上的看到侯致詞台下的反應心裡應該知道年輕人這塊大勢已去對比柯文哲致詞台下歡聲雷動這種反差加上新聞的放送我真心覺得對侯友宜很傷--,39.12.97.143 (臺灣),61
michaelkobe (荒人邪影),[討論] 柯粉是不是腦子都不太好使？,https://www.ptt.cc/bbs/HatePolitics/M.1689506901.A.670.html,Sun Jul 16 19:28:19 2023,"今天王婉瑜在台上火力全開，一人痛批藍綠白三黨，展現了真正的""第三勢力""該是什麼模樣，而不是只是一群噁爛雙飆仔耍猴戲的舞台。可是可是......當王委員說到""選民不是你的太監、也不是你的狗""的時候，正常人應該都會表示認同吧？結果台下的柯粉居然噓聲一片，意思是他們就是喜歡被柯文哲當成狗或太監？怪怪的、怪怪的。我講話就是這樣，9.25毛4%仔蚵憨娼蟈猴粉高不高興隨便你們^^--主題是公平正義耶！而且人家明明也有罵執政黨吧？沒吧主題是公平正義耶又不是臭幹執政黨@@奇怪勒這遊行的主題是公平正義，一定要罵執政黨才叫公平正義？在野黨更爛更不公平正義的不能罵？不如建議館昌下次直接辦一個主題是臭幹執政黨的遊行好不好？",111.71.59.15 (臺灣),41
ERT312 (312),[討論] CF的寄生蟲造勢大法為何無法成功?,https://www.ptt.cc/bbs/HatePolitics/M.1689507031.A.D29.html,Sun Jul 16 19:30:28 2023,柯文哲從政以來最喜歡用的寄生大法付出少少的資源來獲取極大化的利益一直以來都相當成功乃至有些人也有樣學樣例如高虹安當然這種寄生大法有的合法有的遊走在法律邊緣例如若寄生到公家資源就有踩到紅線的疑慮716其實就是柯文哲的造勢活動寄生在昌館的居住正義之下照理說這樣不但能號召出支持居住正義的人也能號召出支持柯文哲的人雙重號召之下雖不敢說1+1>2但1+1>1 還是基本的吧不過為何這活動並不成功大家有什麼看法?--,111.255.196.214 (臺灣),18
DoncicInPTT (東七七),[討論] 綠粉、1450是不是都跑出來透氣了？？,https://www.ptt.cc/bbs/HatePolitics/M.1689507060.A.022.html,Sun Jul 16 19:30:58 2023,716遊行看PTT一直洗，綠粉、1450一個一個嚇得瑟瑟發抖以為阿伯聲勢要一舉殲滅藍綠了結果晚上後也不用晚上，到下午時綠粉、1450一個又一個跑出來是不是又跑出來透氣了？？附上今天下午3點時我在台北世貿旅展的人潮人超級多==--看起來蠻多沖繩跟東京跟韓國的但也有可能我都在關注這些XD本來想去，但臨時被帶去旅展超級多人==現場擠到跟麥克風聲音雜亂到我會覺得不太舒服那種,114.136.231.129 (臺灣),27
sleepsong (晚安曲),[討論] 和平遊行，怎麼被一堆人訕笑,https://www.ptt.cc/bbs/HatePolitics/M.1689507101.A.508.html,Sun Jul 16 19:31:39 2023,欸欸民主國家沒有暴力的遊行表達他們的訴求也沒有脫序的事情發生結果這裡一片訕笑感覺台灣辦個遊行也要看政治正不正確太累了ㄅ--,118.233.38.210 (臺灣),14
Supasizeit (更大更快更有力),[黑特] 看藍白輸成這樣覺得有點可憐,https://www.ptt.cc/bbs/HatePolitics/M.1689507177.A.41F.html,Sun Jul 16 19:32:55 2023,一邊是全黨齊心團結眼睛看的高度是國際大局 是台灣的未來是民主與專制之戰 是白宮與中南海之戰他們的信心展現在能力上臉上止不住的笑容同時 在另外一邊台上人寥寥可數 眼神渙散 看不出一絲希望雖然台上用力的吶喊著但一介魯蛇的自卑展露無疑勝者的餘裕就是大熱天 還可以穿厚厚的棒球外套你們嘴裡喊著的司法正義 居住正義在民主安定 社會團結之下根本就是小事 隨時都可以做到國際的局勢才是最重要的課題燕雀安知鴻鵠之志 我們不需要嘲笑他們人民有不同的聲音那都是民主的常態 聽聽就好 不用放在心上相信人民會跟八年前一樣做出正確明智的選擇716藍白造勢的失敗就是柯黨棺材上最後一根釘子台下的噓聲 就是國民黨的喪鐘--,203.204.194.135 (臺灣),9
Bugquan (靠近邊緣),Re: [新聞] 「賴清德716不去犯下大錯」　黃暐瀚分析1,https://www.ptt.cc/bbs/HatePolitics/M.1689507178.A.8E6.html,Sun Jul 16 19:32:56 2023,所以賴不去真的錯了嗎？今天這個遊行的人數，真的能拿回10%嗎？馬暐瀚真會騙，挺柯就講啊！頭頭是道的在那邊錯誤的分析--,39.9.140.130 (臺灣),24
add20716 (),[討論] 很多柯粉都走了,https://www.ptt.cc/bbs/HatePolitics/M.1689507214.A.F1A.html,Sun Jul 16 19:33:32 2023,KPI主任都快垮了他從柯文哲想選總統到現在都沒休息天天都在ptt護航風向越來越慘他說當網軍以來最慘的日子看到這多網軍 就這樣走先前8800演唱會秒殺洗得多兇被抓包快一個禮拜都還有票 瞬間絕口不提演唱會先前716上凱道護正義震天價響人數腰斬開始切割與柯無關、從王婉諭被看破手腳根本柯洗腦大會熟悉的柯粉護航帳號紛紛神隱慟 很多柯粉都走了--  就真的沒人要買,36.231.183.194 (臺灣),10
omanorboyo (omanorboyo),[討論] 王婉諭就是去現場幹人而已？,https://www.ptt.cc/bbs/HatePolitics/M.1689507219.A.093.html,Sun Jul 16 19:33:36 2023,「我說的，就是要競選總統的柯文哲。」王婉諭指出，跟在農地上違法堆置砂石、開採砂石，甚至占用國有地的苗栗縣長鍾東錦站在一起，柯文哲還跟早年涉嫌職棒簽賭、盜採砂石，占用國有地蓋違建的前立委顏清標家族站在一起。王婉諭批評，當、鴻海集團創辦人忙著結交鍾東錦、顏清標家族，這種魚肉鄉民的黑金勢力，柯文哲也在做一樣的事情，這就是柯文哲跟民眾黨，「請問跟這些牛鬼蛇神站在一起，算什麼第三勢力，請問跟這些魚肉鄉民的混蛋站在一起，算什麼超越藍綠？」---------------------我沒注意王婉諭有沒有順道幹賴清德跟蔡英文？本以為是提訴求跟政策 但她就是到場噴人而已小綠燈噴人之餘 怎沒有為之前汙衊幼教道歉@@?--真的來了,220.132.119.92 (臺灣),106
zzzzzzzzzzzy (zz),[討論] 開除國昌能否拉高時力政黨票？,https://www.ptt.cc/bbs/HatePolitics/M.1689507291.A.12B.html,Sun Jul 16 19:34:49 2023,四黨不過半是政壇最好的答案不要完全執政，不要一黨獨大敢罵、敢噴、敢監督的時力一定要在立院繼續揭弊讓藍綠白戒慎恐懼、瑟瑟發抖時力粉今天的心臟被觸動了時力粉的憂心忡忡浮上檯面了看到許多泛綠支持者紛紛表態願意投時力，唯一條件是國昌退黨時力粉既喜且憂我想，這對燈泡媽是一項艱難的決定但是正確的方向今天不做，明天就會後悔勢沒了，散戲了，再開除就沒號召力了我想問問，開除國昌，或是說服國昌自己退黨，犧牲小我能否讓時力得到更多綠營支持者的政黨票？-----Sent from JPTT on my Realme RMX3370.--,39.12.16.51 (臺灣),18
Sinreigensou (神靈幻想),Re: [討論] 王婉諭證明了716就是柯文哲造勢大會,https://www.ptt.cc/bbs/HatePolitics/M.1689507311.A.5F8.html,Sun Jul 16 19:35:09 2023,我印象以前國民黨遊行造勢發便當包遊覽車然後領500之類的都是被你們酸用錢買人不是真心支持結果現在居然變成政黨應該出錢照顧支持者你們為了打柯連這都能雙標真是佩服佩服--呵 雙標仔崩潰噓了是造勢阿誰不知道 就跟太陽花也是政治運動一樣,49.216.42.86 (臺灣),11
hjk56789 (hjk56789),[討論] 油門廚等PTT柯粉大將有去遊行嗎?,https://www.ptt.cc/bbs/HatePolitics/M.1689507316.A.274.html,Sun Jul 16 19:35:14 2023,吹冷氣看直播那種不算哦依照您們在PTT擁戴阿北的激進程度應該99.87%有去 對吧?如果連這神聖之日都沒去我都要懷疑您們484綠共反串ㄉㄌ--,36.225.128.239 (臺灣),35
yangzy (亞瑟),[討論] 賴導現在是怎樣？,https://www.ptt.cc/bbs/HatePolitics/M.1689507351.A.400.html,Sun Jul 16 19:35:49 2023,賴導表示不因人數而三小三小….同時不以人廢言，所以賴導是怎樣？嫌人數多還是少？是不以哪個人還是哪幾個人廢言？--,115.165.192.217 (臺灣),11
EdisonDeng (PINKDEMI),[討論] 不禮貌鄉民團崩潰了？,https://www.ptt.cc/bbs/HatePolitics/M.1689507358.A.9C9.html,Sun Jul 16 19:35:56 2023,"As title,這幾個禮拜不禮貌一直洗居住正義、司法正義，照三餐臭罵DPP，對國師佔國有地的事隻字不提。在716前每天幫館長、黃國昌洗白，經過今天下午的笑話遊行吹捧人數被幾個留言戳破後之前就不給人po圖了，竟然一怒之下宣布也不給哥布林留言了，不勝唏噓耶之前還大剌剌地說自己多有影響力，現在竟然崩潰了，恭喜不禮貌也變成同溫層一言堂啦～～～--",61.228.147.153 (臺灣),53
newbrain (),[討論] 跟深綠朋友們講選民進黨會打仗他們都怕了,https://www.ptt.cc/bbs/HatePolitics/M.1689507359.A.5E9.html,Sun Jul 16 19:35:57 2023,冥進黨ㄧ堆情色案件誒回：唉冥進黨很貪你知道嗎？回：唉 我對他們某些人還有期待習近平 下次冥進黨選上會攻台你知道嗎？回：真的假的習近平第一個皇帝任期 要是讓台獨黨綱的冥進黨選上一定打，因爲他根本沒威信了。回：這個我真的沒想過，真的考慮不能再投冥進黨了 好可怕--,122.116.228.113 (臺灣),23
a1b2c3d4e5 (阿翔),[黑特] 三民自開始黑716遊行了,https://www.ptt.cc/bbs/HatePolitics/M.1689505725.A.B73.html,Sun Jul 16 19:08:43 2023,欸欸 民眾批評執政黨就被黑了人民站出來喊公平正義被政府檢討我就問啦 請問哪裡有問題嗎？你三民自記者都買的起房子是嗎？館長最後嗆的那一段才是真的嗆完整的迴力鏢打臉現在的民進黨-----Sent from JPTT on my OPPO CPH1879.--,101.12.17.185 (臺灣),20
tenfu (富哥),[討論] 716後該面對的現實,https://www.ptt.cc/bbs/HatePolitics/M.1689505734.A.DAB.html,Sun Jul 16 19:08:52 2023,716過後該面對的現實還是要面對阿發現黃國昌還有可以回去有違建有國有地的家柯昌館粉呢?誰比較爽有面子--,1.160.222.78 (臺灣),8
hydra3179 (真o跑步哥),[討論] 王委員不講武德，大型雙標現場開演,https://www.ptt.cc/bbs/HatePolitics/M.1689505952.A.EC6.html,Sun Jul 16 19:12:30 2023,這場活動明明說好了只能打臉執政黨結果王委員直接藍綠白抓起來做串燒導致收看這場遊行的一般民眾沒有跟主題有多少共鳴只感受到柯粉或白色支持者很雙標本來大家以為今天這場的焦點是郭或柯結果竟然是時代力量的王委員不過不講武德把柯跟藍綠一起批王委員應該也要被柯粉出征了最近柯粉真的很愛出征另外716是不是唯一一場凱道遊行沒有包住景福門的？--,59.126.215.116 (臺灣),18
aling1205 (阿土土),[討論] 716有去凱道現場的朋友請進,https://www.ptt.cc/bbs/HatePolitics/M.1689506003.A.997.html,Sun Jul 16 19:13:21 2023,以往的遊行有不少都是動員去的今天去現場的民眾是不是絕大部份都是自行前往的？如果不是動員的話這規模真的是超乎想像的多--,1.172.69.184 (臺灣),18
a000000000 (比古A十郎),Re: [討論] 716後該面對的現實,https://www.ptt.cc/bbs/HatePolitics/M.1689506106.A.550.html,Sun Jul 16 19:15:04 2023,阿我美國阿爸人喇我覺得716之後該面對的事實94柯糞吃屎別再掙扎惹好嗎各位柯糞R買不起房=大學生賺輸小學生=低薪糞渣716:別再去牽拖捨摸侯娼館時力惹好嗎柯糞=吃屎--,76.132.63.174 (美國),39
thelittleone (風真いろは大好き♡♥),[討論] 三四萬人遊行算不錯嗎？,https://www.ptt.cc/bbs/HatePolitics/M.1689506113.A.DB0.html,Sun Jul 16 19:15:10 2023,716 大遊行聽說三 四萬人參與這樣好像算是不錯不少人出來表達自己的聲音那當年 洪仲丘 太陽花的人數是不是表示國民黨執政爛到炸？讓這麼多人願意出來曬太陽呀----,36.226.7.64 (臺灣),113
theskyofblue (天空藍),[討論] 燈泡媽這波圈到的粉絲是哪一群的?,https://www.ptt.cc/bbs/HatePolitics/M.1689506127.A.A1D.html,Sun Jul 16 19:15:25 2023,乳提王大立委今天的發言我覺得OK阿但我只是想知道他講這席話的TA是誰?目前的時粉主流論述是藍綠白都垃圾黃最清流嗎?還是也是台派第二支...第三支腳的概念?單純好奇她的發言總有個喊話的群體吧?還是希望所謂的  中間綠  支持她?都擠?--,1.200.99.219 (臺灣),68
baloohaloo (阿偉),[討論] 民進黨裝死是不是最好的策略,https://www.ptt.cc/bbs/HatePolitics/M.1689506197.A.C82.html,Sun Jul 16 19:16:35 2023,遊行到現在結束了民進黨始終沒有表態支不支持就很被動的讓側翼去抹就好他們也很清楚把死忠的鞏固好不要再做多餘的表態就沒事因為他們知道辯到後面他們會越來越站不住腳分析一下表態支持與不支持的結果表態支持：就要承認自己做錯了這不可能發生在民進黨身上表態不支持：找不到論點去反駁這九大訴求也沒辦法像側翼一樣可以瘋狂攻擊提出問題的人總而言之民進黨這波操作無敵的吧--,220.129.121.100 (臺灣),7
Jaline5566 (i like 5566),[討論] 柯文哲接下來的窘境,https://www.ptt.cc/bbs/HatePolitics/M.1689506258.A.2C5.html,Sun Jul 16 19:17:36 2023,其實還沒開始前 我也一直覺得716一定人不多（當然這也是馬後炮）因為現實生活 根本沒人在討論加上 各顏色基層問一遍也完全沒風聲但我也納悶為何柯文哲現在幕僚 敢把這個活動定為挺柯活動 因為現實生活還真沒聽說有人要參加 除了八卦版另外之前我文章也提到他們組織怎麼操作 今天活動郭 侯上陣果然被操作洗臉不是早建議你們不要去參加不過也沒關係 這人少到可笑 其實有沒有去都不會有人關心不過柯這一次可能有傷藍營人會看你沒有以後要談合作 我看難了被看破手腳網路直播 影片點閱數怎麼來的 我想大家心裡有數藍綠會再歸隊 這一次笑得應該是朱立倫 跟侯--,42.77.153.239 (臺灣),18
a111111 ( ),[新聞] 住宅政策不見囤房稅？邱顯智嗆侯友宜：「,https://www.ptt.cc/bbs/HatePolitics/M.1689506300.A.F45.html,Sun Jul 16 19:18:18 2023,住宅政策不見囤房稅？邱顯智嗆侯友宜：「校正回歸」Newtalk新聞 記者張柏源前立委黃國昌和網紅「館長」陳之漢今（16）天將在凱道舉辦遊行，以居住正義及司法改革為訴求。並邀請各政黨及總統參選人參加，將出席的國民黨總統參選人侯友宜於15日先拋出居住政策。對此，時代力量立委邱顯智表示，侯友宜悄悄拿掉了囤房稅、空屋稅，終於「校正回歸」，侯友宜還是那個「不推動新北市囤房稅的侯友宜」。我是廣告 請繼續往下閱讀針對侯友宜拋出的居住政策，邱顯智在臉書Po文指出，這是一個「偷天換日」、「畫虎爛不成反類犬」的政策。先前侯友宜在台大演講，全盤照抄時代力量與民間團體的居住政策，他們就覺得有鬼，國民黨根本不會支持、囤房稅、空屋稅。果不其然，侯友宜的五大居住政策，悄悄拿掉了囤房稅、空屋稅的主張。邱顯智續指：「顯然，侯友宜終於『校正回歸』了國民黨與自己的居住政策立場，台大演講只是「作暝歹勢」：絕不輕言啟動持有稅改革，跟過去七年半的民進黨一個樣。熟悉的國民黨最對味，國民黨還是那個因為房價高漲等因素被趕下台的國民黨，侯友宜還是那個不推動新北市囤房稅的侯友宜，一切如常。」網友紛紛留言回應：「第一條照抄就算了！完全沒罰則房東不按實申報會這樣？為什麼白白要讓你分離扣稅，我繼續我的租屋黑市就好了」、「侯市長有現值5億的一棟樓房，每年收租2000萬，還申請99個門牌，去規避房屋稅（不用繳）。」、「囤房稅就打到侯房東自己的腳了，怎麼可能課囤房稅」、「新北市根本沒有為居住正義作任何努力」。心得侯友宜一上任新北市長 就把新北市囤房稅砍掉 來自肥新北市是六都唯一無囤房稅侯友宜有空參加716怎麼不把時間花在推囤房稅？--,220.133.2.21 (臺灣),14
luciffar (☆晨星-蛤蜊娘☆),[黑特] 朱門酒肉臭 路有凍死骨,https://www.ptt.cc/bbs/HatePolitics/M.1689506308.A.B13.html,Sun Jul 16 19:18:26 2023,拍桌子的熱到中暑當權者在這種大熱天穿大外套吹冷氣民進黨484離人民越來越遠了？勸客駝蹄羹，霜橙壓香橘。朱門酒肉臭，路有凍死骨如果還有一點點良知的人就該送民進黨下去好好反躬自省讓他們重回街頭享受陽光的洗禮--,114.41.65.118 (臺灣),26
MoWilliams (騎士總冠軍),[討論] 柯韓粉自認為這次遊行算成功嗎？？,https://www.ptt.cc/bbs/HatePolitics/M.1689506312.A.92F.html,Sun Jul 16 19:18:28 2023,各位安安今天的柯韓粉大趴踢在不明所以的情況下結束。途中好像遇到不少事故三小藍營侯侯站台造勢被時力的小燈泡媽當眾嗆玄天上帝人數也是極為可笑是不是只有dpp辦的遊行才有人去？也不知道訴求是啥這樣的遊行柯韓粉還滿意嗎？？至少如果我是塔綠班參加塔綠班的遊行是這種的話，我會覺得很丟臉啦板上的柯韓粉們覺得呢？？-----Sent from JPTT on my Samsung SM-A326BR.--當綠共在抹紅柯文哲的時候  我跟著一起抹當綠共在抹紅賴清德的時候  我跟著一起抹當綠共在抹紅黃國昌的時候  我發現不對勁了現在  他們在抹紅我了但是我身邊已經沒有人幫我說話了--,223.138.29.167 (臺灣),79
eighties (old boy),Re: [討論] 很遺恨 柯文哲年輕票沒想像中的多,https://www.ptt.cc/bbs/HatePolitics/M.1689506401.A.819.html,Sun Jul 16 19:19:58 2023,我到 我熱 我曬傷就不扯太多1. 各家民調擺在那邊綠營支持者較多 也沒啥好意外2. 即使柯的青年票略多一來青年人數就不能跟老人比加上這些年 多數青年投入的產業叫外送員沒在跟你放假的假設是個黑批黑批大學生放暑假又有多少人肯為了這種事情去當人乾所以參加人數雖不如期望也沒什麼好意外總之公平正義 不該因人而異就 加油--但選擇了戰爭 難道戰敗後就能免於屈辱嗎別整天沒籌碼只想著翻桌 重點不是戰爭或屈辱 而是與 --,123.192.208.87 (臺灣),74
lllll12b56 (張航嘉),[討論] 這次遊行有1000人就偷笑了吧,https://www.ptt.cc/bbs/HatePolitics/M.1689506442.A.B1D.html,Sun Jul 16 19:20:40 2023,看柯粉在那邊自慰幾萬人真的快受不了了人跟人站那麼開 還有雨傘在那邊充寬度每把雨傘底下是只有一個人欸 不是一把雨傘底下藏三四個人欸這次有1000人就不錯了啦好了啦柯粉-----Sent from JPTT on my iPhone--,218.172.89.27 (臺灣),15
win8719 (win8719),[討論] 柯粉歸柯粉 韓粉歸韓粉,https://www.ptt.cc/bbs/HatePolitics/M.1689506562.A.A39.html,Sun Jul 16 19:22:40 2023,這次這場遊行下來我有一個感想柯粉根本比不上韓粉阿如果再把他們兩個擺再一起是不是讓韓粉丟臉阿看一下韓導的造勢跟今天造勢韓粉看到會笑死喔今天是不是也變相的幫韓粉正名了--,114.44.39.53 (臺灣),9
